====================================================================================================================================================================================
COM VARIANTS COMPATIBILITY AND RELIABILITY MATRIX
====================================================================================================================================================================================

[SUMMARY STATISTICS]
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Total Tests: 432
Successful: 356 (82.4%)
Failed: 76 (17.6%)
Overall Reliability Score: 0.79/1.00

[COMPATIBILITY BY INSTANTIATION METHOD]
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Method                         Reliability Score    Rating              
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
GetObject(Running)             0.8932 High (75-99%)       
CreateObject(ProgID)           0.8509 High (75-99%)       
WMI Class                      0.8335 High (75-99%)       
CreateObject(CLSID)            0.8310 High (75-99%)       
New Keyword                    0.8155 High (75-99%)       
GetObject(Moniker)             0.7674 High (75-99%)       
Registry Lookup                0.6933 Partial (50-74%)    
Remote DCOM                    0.6536 Partial (50-74%)    

[COMPATIBILITY BY WINDOWS VERSION]
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Windows Version                Reliability Score    Rating              
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
6.1                            0.8552 High (75-99%)       
10.0                           0.8230 High (75-99%)       
6.0                            0.8158 High (75-99%)       
6.2                            0.7919 High (75-99%)       
10.0.22000                     0.7561 High (75-99%)       
5.1                            0.7119 Partial (50-74%)    

[COMPATIBILITY BY COM OBJECT]
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
COM Object                     Reliability Score    Rating              
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
WScript.Shell                  0.8519 High (75-99%)       
WScript.Network                0.8519 High (75-99%)       
WbemScripting.SWbemLocator     0.8519 High (75-99%)       
MSXML2.DOMDocument             0.8519 High (75-99%)       
Excel.Application              0.7667 High (75-99%)       
Word.Application               0.7667 High (75-99%)       
ADODB.Connection               0.7667 High (75-99%)       
Shell.Application              0.7491 Partial (50-74%)    
PowerPoint.Application         0.6742 Partial (50-74%)    

[DETAILED COMPATIBILITY MATRIX]
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Method                    COM Object                     Version         Success    Reliability    
Registry Lookup           Excel.Application              10.0            NO         0.6840
Registry Lookup           Excel.Application              10.0.22000      NO         0.5850
Registry Lookup           Word.Application               5.1             YES        0.7380
Registry Lookup           Word.Application               6.0             NO         0.6750
Registry Lookup           Word.Application               6.1             YES        0.7200
Registry Lookup           Word.Application               6.2             NO         0.6300
Registry Lookup           Word.Application               10.0            NO         0.6840
Registry Lookup           Word.Application               10.0.22000      NO         0.5850
Registry Lookup           PowerPoint.Application         5.1             NO         0.2214
Registry Lookup           PowerPoint.Application         6.0             NO         0.6750
Registry Lookup           PowerPoint.Application         6.1             YES        0.7200
Registry Lookup           PowerPoint.Application         6.2             NO         0.6300
Registry Lookup           PowerPoint.Application         10.0            NO         0.6840
Registry Lookup           PowerPoint.Application         10.0.22000      NO         0.5850
Registry Lookup           WScript.Shell                  5.1             YES        0.8200
Registry Lookup           WScript.Shell                  6.0             YES        0.7500
Registry Lookup           WScript.Shell                  6.1             YES        0.8000
Registry Lookup           WScript.Shell                  6.2             NO         0.7000
Registry Lookup           WScript.Shell                  10.0            YES        0.7600
Registry Lookup           WScript.Shell                  10.0.22000      NO         0.6500
Registry Lookup           Shell.Application              5.1             NO         0.2460
Registry Lookup           Shell.Application              6.0             YES        0.7500
Registry Lookup           Shell.Application              6.1             YES        0.8000
Registry Lookup           Shell.Application              6.2             NO         0.7000
Registry Lookup           Shell.Application              10.0            YES        0.7600
Registry Lookup           Shell.Application              10.0.22000      NO         0.6500
Registry Lookup           WScript.Network                5.1             YES        0.8200
Registry Lookup           WScript.Network                6.0             YES        0.7500
Registry Lookup           WScript.Network                6.1             YES        0.8000
Registry Lookup           WScript.Network                6.2             NO         0.7000
Registry Lookup           WScript.Network                10.0            YES        0.7600
Registry Lookup           WScript.Network                10.0.22000      NO         0.6500
Registry Lookup           WbemScripting.SWbemLocator     5.1             YES        0.8200
Registry Lookup           WbemScripting.SWbemLocator     6.0             YES        0.7500
Registry Lookup           WbemScripting.SWbemLocator     6.1             YES        0.8000
Registry Lookup           WbemScripting.SWbemLocator     6.2             NO         0.7000
Registry Lookup           WbemScripting.SWbemLocator     10.0            YES        0.7600
Registry Lookup           WbemScripting.SWbemLocator     10.0.22000      NO         0.6500
Registry Lookup           ADODB.Connection               5.1             YES        0.7380
Registry Lookup           ADODB.Connection               6.0             NO         0.6750
Registry Lookup           ADODB.Connection               6.1             YES        0.7200
Registry Lookup           ADODB.Connection               6.2             NO         0.6300
Registry Lookup           ADODB.Connection               10.0            NO         0.6840
Registry Lookup           ADODB.Connection               10.0.22000      NO         0.5850
Registry Lookup           MSXML2.DOMDocument             5.1             YES        0.8200
Registry Lookup           MSXML2.DOMDocument             6.0             YES        0.7500
Registry Lookup           MSXML2.DOMDocument             6.1             YES        0.8000
Registry Lookup           MSXML2.DOMDocument             6.2             NO         0.7000
Registry Lookup           MSXML2.DOMDocument             10.0            YES        0.7600
Registry Lookup           MSXML2.DOMDocument             10.0.22000      NO         0.6500

====================================================================================================================================================================================


======================================================================================================================================================
COMPATIBILITY TABLE: METHODS vs WINDOWS VERSIONS
======================================================================================================================================================

Method                         5.1             6.0             6.1             6.2             10.0            10.0.22000      
------------------------------------------------------------------------------------------------------------------------------------------------------
CreateObject(ProgID)           ✗ 0.77      ✓ 0.88      ✓ 0.91      ✓ 0.86      ✓ 0.88      ✓ 0.81      
CreateObject(CLSID)            ✗ 0.74      ✓ 0.86      ✓ 0.89      ✓ 0.84      ✓ 0.86      ✓ 0.79      
GetObject(Running)             ✗ 0.79      ✓ 0.92      ✓ 0.93      ✓ 0.91      ✓ 0.92      ✓ 0.90      
GetObject(Moniker)             ✗ 0.69      ✓ 0.78      ✓ 0.83      ✓ 0.76      ✓ 0.79      ✓ 0.75      
New Keyword                    ✗ 0.73      ✓ 0.84      ✓ 0.88      ✓ 0.82      ✓ 0.85      ✓ 0.77      
Remote DCOM                    ✗ 0.61      ✗ 0.67      ✓ 0.76      ✗ 0.62      ✗ 0.69      ✗ 0.57      
WMI Class                      ✗ 0.71      ✓ 0.86      ✓ 0.88      ✓ 0.85      ✓ 0.87      ✓ 0.83      
Registry Lookup                ✗ 0.66      ✗ 0.72      ✓ 0.76      ✗ 0.67      ✗ 0.73      ✗ 0.62      

======================================================================================================================================================
